Name,Event,Price,Stock,ImageURL
Lucky Top Hat,St. Patrick's,₱25.00,1,https://zarys-exists.github.io/FTF-Trade-Calculator/items/Lucky%20Top%20Hat.webp
Irish Harp,St. Patrick's,₱20.00,1,https://zarys-exists.github.io/FTF-Trade-Calculator/items/Irish%20Harp.webp
Pot O' Gold,St. Patrick's,₱35.00,1,https://zarys-exists.github.io/FTF-Trade-Calculator/items/Pot%20O'%20Gold.webp
Leprechaun Boot,St. Patrick's,₱20.00,1,https://zarys-exists.github.io/FTF-Trade-Calculator/items/Leprechaun%20Boot.webp
Fortune House,St. Patrick's,₱20.00,1,https://zarys-exists.github.io/FTF-Trade-Calculator/items/Fortune%20House.webp
Watering Can,Spring,₱25.00,1,https://flee-the-facility.fandom.com/wiki/Watering_Can_Hammer
Cherry Blossom Tree,Spring,₱60.00,1,https://flee-the-facility.fandom.com/wiki/Cherry_Blossom_Tree_Hammer
Dayflower,Spring,₱25.00,2,https://flee-the-facility.fandom.com/wiki/Dayflower_Hammer
Nightbloom,Spring,₱25.00,2,https://flee-the-facility.fandom.com/wiki/Nightbloom_Hammer
Lilium Bush,Spring,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Lilium_Bush_Hammer
Bleeding Heart,Spring,₱35.00,1,https://flee-the-facility.fandom.com/wiki/Bleeding_Heart_Hammer
Spring World,Spring,₱35.00,2,https://flee-the-facility.fandom.com/wiki/Spring_World_Hammer
Lily of The Valley,Spring,₱20.00,14,https://raw.githubusercontent.com/HuntSlayer/FTF-Values/refs/heads/main/sets/Lily_of_The_Valley.png
Woodland Staff,Spring,₱20.00,10,https://raw.githubusercontent.com/HuntSlayer/FTF-Values/refs/heads/main/sets/Woodland_Staff.png
Strawberry Fields,Spring,₱40.00,1,https://raw.githubusercontent.com/HuntSlayer/FTF-Values/refs/heads/main/sets/Strawberry_Fields.png
Greenhouse,Spring,₱10.00,10,https://zarys-exists.github.io/FTF-Trade-Calculator/items/Greenhouse.webp
Sakura,Spring,₱15.00,1,https://zarys-exists.github.io/FTF-Trade-Calculator/items/Sakura.webp
Candy Egg,Easter,₱7.00,3,https://flee-the-facility.fandom.com/wiki/Candy_Egg_Hammer
Stage Fright,Halloween,₱7.00,1,https://flee-the-facility.fandom.com/wiki/Stage_Fright_Hammer
Vampiric Corset,Halloween,₱7.00,1,https://flee-the-facility.fandom.com/wiki/Vampiric_Corset_Hammer
Werewolf,Halloween,₱7.00,1,https://flee-the-facility.fandom.com/wiki/Werewolf_Hammer
Dracula's Castle,Halloween,₱7.00,1,https://flee-the-facility.fandom.com/wiki/Dracula's_Castle_Hammer
Garden Snail,Spring,₱10.00,3,https://flee-the-facility.fandom.com/wiki/Garden_Snail_Hammer
Night Snail,Spring,₱10.00,3,https://flee-the-facility.fandom.com/wiki/Night_Snail_Hammer
Honey Cheesecake,Spring,₱20.00,10,https://raw.githubusercontent.com/HuntSlayer/FTF-Values/refs/heads/main/sets/Honey_Cheesecake.png
Veridian Cactus,Spring,₱15.00,10,https://raw.githubusercontent.com/HuntSlayer/FTF-Values/refs/heads/main/sets/Veridian_Greenhouse.png
Sakura Parasol,Spring,₱45.00,4,https://raw.githubusercontent.com/HuntSlayer/FTF-Values/refs/heads/main/sets/Sakura_Parasol.png
Coastal Lighthouse,Summer,₱20.00,4,https://flee-the-facility.fandom.com/wiki/Coastal_Lighthouse_Hammer
Beach Boat,Summer,₱20.00,4,https://flee-the-facility.fandom.com/wiki/Beach_Boat_Hammer
Sand Castle,Summer,₱37.00,1,https://flee-the-facility.fandom.com/wiki/Sand_Castle_Hammer
Tropical Drink,Summer,₱20.00,3,https://flee-the-facility.fandom.com/wiki/Tropical_Drink_Hammer
Icecream Mix,Summer,₱60.00,1,https://flee-the-facility.fandom.com/wiki/Icecream_Mix_Hammer
Lovesick Bow,Valentine's,₱120.00,4,https://zarys-exists.github.io/FTF-Trade-Calculator/items/Lovesick%20Bow.webp
Sweethearts Store,Valentine's,₱25.00,4,https://raw.githubusercontent.com/HuntSlayer/FTF-Values/refs/heads/main/sets/Sweethearts_Store.png
Twisted Passion,Valentine's,₱35.00,1,https://zarys-exists.github.io/FTF-Trade-Calculator/items/Twisted%20Passion.webp
Flourished Fountain,Valentine's,₱25.00,1,https://zarys-exists.github.io/FTF-Trade-Calculator/items/Flourished%20Fountain.webp
Blade of Thorns,Valentine's,₱35.00,1,https://zarys-exists.github.io/FTF-Trade-Calculator/items/Blade%20of%20Thorns.webp
Lonely Heart,Valentine's,₱20.00,1,https://raw.githubusercontent.com/HuntSlayer/FTF-Values/refs/heads/main/sets/Lonely_Date.png
Lovely Heart,Valentine's,₱35.00,1,https://zarys-exists.github.io/FTF-Trade-Calculator/items/Lovely%20Heart.webp
Strawberry Milk,Others,₱5.00,1,https://flee-the-facility.fandom.com/wiki/Strawberry_Milk_Hammer
Painting Roll,Others,₱10.00,1,https://flee-the-facility.fandom.com/wiki/Painting_Roll_Hammer
Spraying Can,Others,₱10.00,2,https://flee-the-facility.fandom.com/wiki/Spraying_Can_Hammer
Fall Foliage,Autumn,₱10.00,2,https://flee-the-facility.fandom.com/wiki/Fall_Foliage_Hammer
Autumn Foliage,Autumn,₱10.00,1,https://flee-the-facility.fandom.com/wiki/Autumn_Foliage_Hammer
Haybale,Autumn,₱15.00,1,https://flee-the-facility.fandom.com/wiki/Haybale_Hammer
Magical Voodoo,Halloween,₱15.00,1,https://flee-the-facility.fandom.com/wiki/Magical_Voodoo_Hammer
Cursed Painting,Halloween,₱15.00,1,https://flee-the-facility.fandom.com/wiki/Cursed_Painting_Hammer
Broken Mirror,Halloween,₱15.00,1,https://flee-the-facility.fandom.com/wiki/Broken_Mirror_Hammer
Malicious Treat,Halloween,₱15.00,1,https://flee-the-facility.fandom.com/wiki/Malicious_Treat_Hammer
Spiteful Treat,Halloween,₱15.00,1,https://flee-the-facility.fandom.com/wiki/Spiteful_Treat_Hammer
Psycho's Axe,Halloween,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Psycho's_Axe_Hammer
Bamboo,Lunar New Years,₱7.00,1,https://raw.githubusercontent.com/HuntSlayer/FTF-Values/refs/heads/main/sets/Bamboo.png
Sunlit Butterflies,Spring,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Sunlit_Butterflies_Hammer
Moonlit Butterflies,Spring,₱20.00,1,https://flee-the-facility.fandom.com/wiki/Moonlit_Butterflies_Hammer
